GEOID,total_evictions
06073000100,1
06073000201,2
06073000202,4
06073000301,2
06073000302,10
06073000400,6
06073000500,3
06073000600,2
06073000700,3
06073000800,20
06073000901,4
06073000902,7
06073001000,10
06073001100,8
06073001201,9
06073001202,21
06073001301,17
06073001302,6
06073001400,1
06073001500,9
06073001600,20
06073001700,3
06073001801,5
06073001802,8
06073001900,2
06073002001,1
06073002002,1
06073002100,12
06073002201,11
06073002202,19
06073002301,12
06073002302,21
06073002401,8
06073002402,18
06073002501,15
06073002502,22
06073002601,13
06073002602,13
06073002702,6
06073002703,31
06073002705,2
06073002707,11
06073002708,16
06073002709,3
06073002710,5
06073002711,1
06073002712,13
06073002801,7
06073002803,9
06073002804,3
06073002902,13
06073002903,13
06073002904,7
06073002905,16
06073003001,9
06073003003,19
06073003004,10
06073003101,2
06073003103,19
06073003105,1
06073003107,5
06073003108,3
06073003109,2
06073003111,18
06073003112,6
06073003113,1
06073003114,2
06073003115,6
06073003201,3
06073003202,9
06073003204,9
06073003207,3
06073003208,7
06073003209,14
06073003211,7
06073003212,2
06073003213,1
06073003214,5
06073003301,2
06073003303,17
06073003304,15
06073003305,21
06073003401,24
06073003403,17
06073003404,8
06073003501,11
06073003502,6
06073003601,1
06073003602,12
06073003603,4
06073003800,1
06073003901,8
06073003902,28
06073004000,18
06073004101,15
06073004102,15
06073004200,1
06073004300,1
06073004400,1
06073004501,6
06073004600,11
06073004700,6
06073004800,7
06073004900,8
06073005000,13
06073005101,26
06073005102,51
06073005103,33
06073005201,27
06073005202,110
06073005301,48
06073005302,28
06073005401,15
06073005402,9
06073005403,17
06073005500,1
06073005601,26
06073005602,1
06073005700,10
06073005801,3
06073005802,9
06073005900,13
06073006000,9
06073006100,3
06073006200,1
06073006300,1
06073006500,13
06073006600,2
06073006801,5
06073006802,15
06073006900,4
06073007002,1
06073007100,2
06073007200,1
06073007302,1
06073007303,2
06073007304,12
06073007401,12
06073007402,3
06073007501,15
06073007502,7
06073007601,2
06073007602,5
06073007701,17
06073007702,4
06073007800,21
06073007905,3
06073007907,12
06073007908,4
06073007910,6
06073007911,7
06073007912,2
06073008002,4
06073008003,2
06073008006,8
06073008101,3
06073008102,5
06073008201,15
06073008202,1
06073008301,1
06073008303,7
06073008305,1
06073008306,2
06073008307,1
06073008310,1
06073008311,1
06073008312,1
06073008313,1
06073008324,2
06073008327,1
06073008328,1
06073008330,1
06073008331,1
06073008336,1
06073008337,1
06073008339,6
06073008343,1
06073008344,1
06073008345,1
06073008346,7
06073008347,1
06073008348,1
06073008349,1
06073008350,47
06073008351,1
06073008352,1
06073008353,1
06073008355,2
06073008356,1
06073008357,1
06073008358,5
06073008359,10
06073008360,18
06073008361,1
06073008362,1
06073008363,6
06073008364,8
06073008365,1
06073008366,1
06073008367,3
06073008368,3
06073008369,3
06073008370,2
06073008371,13
06073008372,1
06073008373,5
06073008374,1
06073008375,16
06073008376,17
06073008377,2
06073008378,1
06073008379,15
06073008380,10
06073008381,1
06073008501,1
06073008502,7
06073008503,13
06073008504,8
06073008505,9
06073008506,2
06073008507,7
06073008509,1
06073008510,5
06073008511,29
06073008512,3
06073008513,2
06073008600,5
06073008701,6
06073008702,8
06073008800,5
06073008901,4
06073008902,5
06073009000,4
06073009101,1
06073009102,2
06073009103,6
06073009104,1
06073009107,4
06073009108,8
06073009109,1
06073009201,8
06073009203,22
06073009204,1
06073009301,3
06073009305,11
06073009306,5
06073009307,36
06073009308,12
06073009400,1
06073009502,1
06073009504,2
06073009505,1
06073009506,2
06073009507,3
06073009509,65
06073009510,2
06073009511,1
06073009602,1
06073009603,24
06073009604,16
06073009703,2
06073009704,9
06073009705,4
06073009706,3
06073009801,2
06073009802,3
06073009804,2
06073009805,1
06073009901,1
06073009902,1
06073010001,1
06073010003,1
06073010004,3
06073010005,1
06073010009,10
06073010010,3
06073010011,3
06073010012,1
06073010013,2
06073010015,13
06073010016,106
06073010017,1
06073010018,75
06073010019,8
06073010103,11
06073010104,7
06073010106,5
06073010107,14
06073010109,2
06073010110,10
06073010111,2
06073010112,10
06073010201,8
06073010202,3
06073010300,5
06073010401,5
06073010402,17
06073010501,1
06073010502,25
06073010601,1
06073010800,4
06073010900,1
06073011000,3
06073011100,5
06073011300,1
06073011601,9
06073011602,5
06073011700,17
06073011801,4
06073011802,6
06073011902,6
06073012002,5
06073012003,1
06073012101,1
06073012102,2
06073012200,7
06073012302,8
06073012303,11
06073012304,2
06073012401,2
06073012402,8
06073012501,14
06073012502,18
06073012600,14
06073012700,16
06073012800,10
06073012900,1
06073013000,6
06073013102,38
06073013103,3
06073013104,2
06073013203,1
06073013204,3
06073013205,4
06073013206,11
06073013301,4
06073013302,1
06073013303,5
06073013306,8
06073013307,3
06073013308,13
06073013309,6
06073013312,1
06073013315,1
06073013316,5
06073013317,13
06073013318,8
06073013319,6
06073013320,8
06073013321,1
06073013322,3
06073013323,1
06073013324,2
06073013325,6
06073013326,4
06073013327,2
06073013401,3
06073013409,8
06073013411,8
06073013412,7
06073013414,1
06073013415,1
06073013416,1
06073013417,1
06073013418,6
06073013420,3
06073013421,1
06073013422,5
06073013423,1
06073013424,10
06073013425,1
06073013503,9
06073013504,3
06073013505,6
06073013506,7
06073013601,12
06073013604,7
06073013605,3
06073013607,8
06073013608,5
06073013701,4
06073013702,17
06073013801,9
06073013802,8
06073013903,2
06073013905,2
06073013906,12
06073013907,11
06073013908,8
06073013909,10
06073014001,5
06073014002,6
06073014101,3
06073014102,4
06073014200,18
06073014300,6
06073014400,16
06073014500,9
06073014601,8
06073014602,7
06073014701,6
06073014702,3
06073014803,3
06073014804,15
06073014805,5
06073014806,15
06073014901,4
06073014902,5
06073015001,3
06073015002,9
06073015100,3
06073015200,3
06073015301,7
06073015302,4
06073015403,1
06073015405,1
06073015406,1
06073015407,13
06073015408,2
06073015501,10
06073015502,1
06073015601,14
06073015602,4
06073015701,22
06073015704,15
06073015705,14
06073015706,7
06073015801,17
06073015802,13
06073015901,13
06073015902,10
06073016000,2
06073016100,10
06073016201,7
06073016202,35
06073016301,13
06073016302,14
06073016401,1
06073016403,1
06073016404,4
06073016502,22
06073016503,7
06073016504,27
06073016606,4
06073016607,6
06073016608,1
06073016609,10
06073016610,7
06073016613,1
06073016614,5
06073016615,11
06073016616,9
06073016617,10
06073016618,4
06073016619,5
06073016620,4
06073016621,1
06073016703,8
06073016704,4
06073016705,17
06073016706,1
06073016804,35
06073016806,7
06073016807,5
06073016809,4
06073016810,3
06073016811,4
06073016812,6
06073016813,4
06073016901,19
06073016902,7
06073017006,1
06073017009,4
06073017010,1
06073017014,1
06073017018,1
06073017020,5
06073017021,2
06073017022,4
06073017031,3
06073017033,2
06073017034,1
06073017035,3
06073017036,2
06073017037,2
06073017039,3
06073017040,3
06073017041,1
06073017043,2
06073017044,1
06073017045,1
06073017046,1
06073017047,1
06073017048,8
06073017049,6
06073017050,8
06073017051,3
06073017052,6
06073017053,1
06073017054,1
06073017055,1
06073017056,2
06073017057,1
06073017058,1
06073017059,1
06073017060,1
06073017061,2
06073017062,1
06073017063,1
06073017064,1
06073017065,4
06073017066,2
06073017067,1
06073017068,1
06073017069,1
06073017070,6
06073017071,7
06073017104,1
06073017106,2
06073017107,1
06073017108,9
06073017109,4
06073017111,3
06073017112,1
06073017113,2
06073017201,3
06073017202,2
06073017303,1
06073017305,2
06073017306,1
06073017307,6
06073017308,6
06073017403,2
06073017405,1
06073017406,2
06073017407,1
06073017408,4
06073017501,1
06073017502,5
06073017601,2
06073017603,1
06073017605,3
06073017606,9
06073017701,3
06073017702,1
06073017801,8
06073017808,2
06073017809,1
06073017810,4
06073017811,11
06073017813,5
06073017901,5
06073017902,1
06073018000,4
06073018101,1
06073018102,9
06073018201,10
06073018202,10
06073018301,1
06073018302,6
06073018400,13
06073018504,7
06073018509,14
06073018510,2
06073018511,4
06073018512,5
06073018515,16
06073018516,14
06073018517,4
06073018518,5
06073018519,7
06073018520,8
06073018521,4
06073018522,5
06073018523,1
06073018524,1
06073018525,4
06073018601,3
06073018608,2
06073018609,6
06073018612,2
06073018613,8
06073018615,2
06073018616,10
06073018617,7
06073018618,2
06073018619,5
06073018620,1
06073018621,9
06073018622,7
06073018700,1
06073018801,4
06073018803,7
06073018804,3
06073018805,1
06073018903,2
06073018904,11
06073018905,6
06073018906,12
06073019001,10
06073019002,1
06073019103,5
06073019105,3
06073019107,1
06073019108,6
06073019109,4
06073019110,7
06073019111,1
06073019203,1
06073019205,1
06073019206,5
06073019208,1
06073019209,1
06073019210,9
06073019301,3
06073019303,11
06073019304,2
06073019305,7
06073019403,5
06073019404,2
06073019405,21
06073019406,1
06073019501,3
06073019502,8
06073019503,9
06073019601,6
06073019602,11
06073019701,19
06073019702,4
06073019803,6
06073019804,2
06073019805,17
06073019808,1
06073019809,1
06073019810,9
06073019811,11
06073019902,12
06073019903,4
06073019904,5
06073019905,8
06073020015,3
06073020017,19
06073020019,6
06073020021,9
06073020023,1
06073020024,3
06073020025,7
06073020026,5
06073020028,9
06073020029,23
06073020030,7
06073020031,1
06073020032,1
06073020033,4
06073020034,1
06073020035,1
06073020036,15
06073020037,5
06073020038,1
06073020039,2
06073020040,1
06073020041,4
06073020042,4
06073020043,2
06073020044,7
06073020105,2
06073020106,3
06073020107,3
06073020108,9
06073020109,2
06073020110,3
06073020111,2
06073020202,12
06073020206,6
06073020207,11
06073020208,2
06073020209,9
06073020210,2
06073020211,14
06073020213,6
06073020214,15
06073020304,1
06073020305,5
06073020308,29
06073020309,6
06073020310,20
06073020311,7
06073020312,3
06073020313,20
06073020401,1
06073020403,1
06073020404,11
06073020405,1
06073020500,4
06073020601,13
06073020602,7
06073020705,1
06073020706,2
06073020707,14
06073020708,8
06073020710,1
06073020711,7
06073020712,1
06073020801,7
06073020805,2
06073020806,15
06073020807,1
06073020810,1
06073020811,3
06073020812,6
06073020813,11
06073020902,1
06073020903,6
06073020904,10
06073021001,2
06073021002,3
06073021101,10
06073021102,5
06073021202,1
06073021204,12
06073021205,26
06073021206,2
06073021302,7
06073021304,1
06073021305,1
06073021306,2
06073021401,1
06073021402,10
06073021501,1
06073021502,4
06073021600,1
06073021800,5
06073021900,20
06073022000,8
06073022101,9
06073022102,4
